title,auther,after_uploaded,duration,link
The Python Package I Wish I'd Learned Earlier,John Watson Rooney,2天前,11分钟21秒钟,https://www.youtube.com/watch?v=_1Nf9KNhsPw
Rotate User Agents in Scrapy using custom Middleware,John Watson Rooney,8天前,8分钟44秒钟,https://www.youtube.com/watch?v=bM7SMx44xgY&t=295s
GO for Beginners - Web Scraping with Golang Tutorial,John Watson Rooney,10天前,17分钟,https://www.youtube.com/watch?v=NU4OlJVj1gs&t=250s
How I Scraped This HTML Table to a Python Dictionary,John Watson Rooney,2周前,11分钟16秒钟,https://www.youtube.com/watch?v=kmosTh85dEs
Python TYPE HINTS Explained with Examples,John Watson Rooney,3周前,9分钟33秒钟,https://www.youtube.com/watch?v=0Qu_vJp0OAQ
Use THIS Algorithm To Find KEYWORDS in Text - A Short Python Project,John Watson Rooney,4周前,5分钟22秒钟,https://www.youtube.com/watch?v=O43XPHC_DEs
SQLModel is the Pydantic inspired Python ORM we’ve been waiting for,John Watson Rooney,1个月前,8分钟36秒钟,https://www.youtube.com/watch?v=1oGW-ItQG94&t=86s
How to use Enumerate in Python to have a Counter in your loops,John Watson Rooney,1个月前,4分钟1秒钟,https://www.youtube.com/watch?v=I4pVZuNBnH4
How to HIDE Your API Keys in Python Projects,John Watson Rooney,1个月前,4分钟27秒钟,https://www.youtube.com/watch?v=CJjSOzb0IYs
How to Make 2500 HTTP Requests in 2 Seconds with Async & Await,John Watson Rooney,2个月前,4分钟27秒钟,https://www.youtube.com/watch?v=Ii7x4mpIhIs
Are You Still Using Excel? AUTOMATE it with PYTHON,John Watson Rooney,2个月前,7分钟19秒钟,https://www.youtube.com/watch?v=PBRMvAKz_rQ&t=362s
How To Parse Data from HTML Tables Using Requests-HTML,John Watson Rooney,2个月前,17分钟,https://www.youtube.com/watch?v=YjpGdFwIAxg&t=57s
THIS is the most common ERROR when learning Web Scraping,John Watson Rooney,2个月前,5分钟10秒钟,https://www.youtube.com/watch?v=LEH05TuuEg0
"Learn Web Scraping With Python: Full Project - HTML, Save to CSV, Pagination",John Watson Rooney,3个月前,37分钟,https://www.youtube.com/watch?v=GyB43hudfQw
Turn Websites into Real Time API's with ScrapyRT,John Watson Rooney,3个月前,5分钟13秒钟,https://www.youtube.com/watch?v=_LLSiBMD_sk
HTTPX is the ASYNC Requests I was Looking For,John Watson Rooney,3个月前,7分钟23秒钟,https://www.youtube.com/watch?v=2FNcJKCfrzI
Research Amazon Products by Extracting Review Data,John Watson Rooney,4个月前,18分钟,https://www.youtube.com/watch?v=UD4VzOfhBCQ&t=281s
"Web Scraping 101 - My (in)complete guide, methods, tools, how to",John Watson Rooney,4个月前,10分钟54秒钟,https://www.youtube.com/watch?v=EJNJ5_i_zu8
How to Scrape JavaScript Websites with Scrapy and Playwright,John Watson Rooney,5个月前,11分钟12秒钟,https://www.youtube.com/watch?v=0wO7K-SoUHM&t=15s
Web Scraping with Node js? Python Expert Opinion and demo,John Watson Rooney,5个月前,9分钟12秒钟,https://www.youtube.com/watch?v=VM8mE9iXAMo
Automate Buying online using Playwright’s Codegen feature,John Watson Rooney,5个月前,9分钟45秒钟,https://www.youtube.com/watch?v=oPjfDkge8Vc
Login and Scrape Data with Playwright and Python,John Watson Rooney,5个月前,10分钟22秒钟,https://www.youtube.com/watch?v=H2-5ecFwHHQ
Parse HTML with BeautifulSoup AND Scrapy,John Watson Rooney,5个月前,7分钟18秒钟,https://www.youtube.com/watch?v=b3OEo0p6tUM
HIDING Data with JavaScript? Web Scraping Obfuscation,John Watson Rooney,5个月前,12分钟50秒钟,https://www.youtube.com/watch?v=ks-iekIJy6M&t=71s
Following LINKS Automatically with Scrapy CrawlSpider,John Watson Rooney,6个月前,14分钟33秒钟,https://www.youtube.com/watch?v=o1g8prnkuiQ&t=75s
Web Scraping Weather Data with Python,John Watson Rooney,6个月前,10分钟48秒钟,https://www.youtube.com/watch?v=cta1yCb3vA8
How I Try My CODE and Test My SELECTORS in SCRAPY,John Watson Rooney,6个月前,7分钟7秒钟,https://www.youtube.com/watch?v=yLOUJegHoMg
How To Handle Errors & Exceptions with Requests and Python,John Watson Rooney,6个月前,6分钟46秒钟,https://www.youtube.com/watch?v=ULv9x0GQFbw
A Short and SIMPLE HTML Web Scraper in 6 lines of CODE,John Watson Rooney,6个月前,6分钟41秒钟,https://www.youtube.com/watch?v=EmDwXmwxVW8
Failed Requests? Try this RETRY Decorator for your Web Scraper,John Watson Rooney,7个月前,6分钟6秒钟,https://www.youtube.com/watch?v=gzQUzslnfeU
This SQLite Database Model is Easy and Ready for your Python Projects!,John Watson Rooney,7个月前,11分钟16秒钟,https://www.youtube.com/watch?v=LFG2Kx1m-Dc
Create A Web Scraper Class in Python and requests-html,John Watson Rooney,7个月前,7分钟30秒钟,https://www.youtube.com/watch?v=ouWLsFTgaQw
How To Add LOGGING to Your Python Projects for Beginners,John Watson Rooney,7个月前,6分钟13秒钟,https://www.youtube.com/watch?v=fYmQLv16-44
Scraping Data from JavaScript rendered tables with Python,John Watson Rooney,7个月前,5分钟3秒钟,https://www.youtube.com/watch?v=qxj7EXYeNls&t=7s
Scrapy to Database - SQLite3 Pipeline with Python,John Watson Rooney,7个月前,8分钟3秒钟,https://www.youtube.com/watch?v=cw5QtDxwTIQ
Python's BEST Web Scraping Framework - First Project,John Watson Rooney,8个月前,23分钟,https://www.youtube.com/watch?v=pSyiJKdCKtc
How to store data with Python and SQLite3,John Watson Rooney,8个月前,9分钟15秒钟,https://www.youtube.com/watch?v=RZI-v-Z1W4c
Hidden APIs with Scrapy - easy JSON data extraction,John Watson Rooney,8个月前,9分钟59秒钟,https://www.youtube.com/watch?v=xjieRVnuPcQ
"Inspect Element is LYING to You? JavaScript, The DOM and Web Scraping",John Watson Rooney,8个月前,5分钟17秒钟,https://www.youtube.com/watch?v=Xw2eNRh4pf8
Always Check for the Hidden API when Web Scraping,John Watson Rooney,8个月前,11分钟50秒钟,https://www.youtube.com/watch?v=DqtlR0y0suo
I Think Scrapy Is Easier Than BS4,John Watson Rooney,9个月前,12分钟7秒钟,https://www.youtube.com/watch?v=aIHTgF6polk
5 Web Scraping Tips Every Beginner Should Know.,John Watson Rooney,9个月前,5分钟39秒钟,https://www.youtube.com/watch?v=QEANQsoEmHI
Automate Excel Work with Python and Pandas,John Watson Rooney,10个月前,21分钟,https://www.youtube.com/watch?v=CnCBbiLw-HU&t=1070s
Working With APIs in Python - Pagination and Data Extraction,John Watson Rooney,10个月前,22分钟,https://www.youtube.com/watch?v=-oPuGc05Lxs&t=10s
How I Create Shopify Private Apps with Python,John Watson Rooney,10个月前,15分钟,https://www.youtube.com/watch?v=CbsbunnH8Q0
Create Your Own Scraper API with FastAPI and Python,John Watson Rooney,10个月前,14分钟43秒钟,https://www.youtube.com/watch?v=0D_BqtQtBZc&t=37s
Web Scraping with AIOHTTP and Python,John Watson Rooney,11个月前,13分钟44秒钟,https://www.youtube.com/watch?v=lUwZ9rS0SeM&t=312s
Scrapy From one Script: ProcessCrawler,John Watson Rooney,11个月前,12分钟47秒钟,https://www.youtube.com/watch?v=5Is-QdbKmEI
Web Scraping Project: Save Shopify Products to Database,John Watson Rooney,11个月前,30分钟,https://www.youtube.com/watch?v=p3Z-qtUp4p8
Improve Your Web Scraping with these Tips,John Watson Rooney,11个月前,7分钟52秒钟,https://www.youtube.com/watch?v=09pgRsEZyK4
Scrape LIVE scores - No BeautifulSoup or Selenium NEEDED!,John Watson Rooney,1年前,15分钟,https://www.youtube.com/watch?v=hV5k1XbcZXA
Spider Arguments with Scrapy & Python,John Watson Rooney,1年前,6分钟52秒钟,https://www.youtube.com/watch?v=yrv9V7ZG5hI
Crawl and Follow links with SCRAPY - Web Scraping with Python Project,John Watson Rooney,1年前,15分钟,https://www.youtube.com/watch?v=-mkewdn9JdU
Slow Web Scraper? Try this with ASYNC and Requests-html,John Watson Rooney,1年前,8分钟58秒钟,https://www.youtube.com/watch?v=8drEB06QjLs&t=244s
Python Web Scraping LIVE 4!  QnA - Chat - Hangout,John Watson Rooney,直播时间：1年前,1小时4分钟,https://www.youtube.com/watch?v=NZ2seWGQa-A
"Python Web Scraping - Append to CSV, Cleaning Data, Requests HTML",John Watson Rooney,1年前,26分钟,https://www.youtube.com/watch?v=e0ZcQn9epeo&t=402s
Web Scraping with BeautifulSoup and CSS Selectors,John Watson Rooney,1年前,25分钟,https://www.youtube.com/watch?v=UClHOT_7hok
Basic ASYNC Web Scraping Part2 - Grequests Example Python Project,John Watson Rooney,1年前,18分钟,https://www.youtube.com/watch?v=0MxLaCES4_8
Weekly Web Scraping Ep#2 - Amazon Product Reviews,John Watson Rooney,1年前,28分钟,https://www.youtube.com/watch?v=2O1pOuakEVE&t=163s
All the LINKS! Scraping Sitemaps,John Watson Rooney,1年前,7分钟13秒钟,https://www.youtube.com/watch?v=lf38KO5-GwQ
"Weekly Web Scraping with Python: Product Pages, Pagination, Save to CSV",John Watson Rooney,1年前,24分钟,https://www.youtube.com/watch?v=aA4o98Xb8JU
Async Requests Made Simple - Grequests for Web Scraping with Python,John Watson Rooney,1年前,8分钟51秒钟,https://www.youtube.com/watch?v=UDATm1CwIR8
Argparse Basics - How I run my scripts via the Command Line,John Watson Rooney,1年前,6分钟45秒钟,https://www.youtube.com/watch?v=FbEJN8FsJ9U
Scraping Google News the Easy Way with Python and pygooglenews,John Watson Rooney,1年前,12分钟4秒钟,https://www.youtube.com/watch?v=rQXL9A0ST5k
Check for THIS before Rendering that Javascript Site! Web Scraping with Chompjs,John Watson Rooney,1年前,8分钟30秒钟,https://www.youtube.com/watch?v=VKI69VF8Exk
Want Faster HTTP Requests? Use A Session with Python!,John Watson Rooney,1年前,7分钟16秒钟,https://www.youtube.com/watch?v=IDhuUpeF1n0
Request Headers for Web Scraping,John Watson Rooney,1年前,10分钟3秒钟,https://www.youtube.com/watch?v=Oz902cJcCUg
How to Scrape Amazon for ASINs with Requests-HTML,John Watson Rooney,1年前,10分钟25秒钟,https://www.youtube.com/watch?v=ue7-MQRhs1E&t=474s
How To Scrape Woocommerce products with Python & requests-html,John Watson Rooney,1年前,23分钟,https://www.youtube.com/watch?v=w607VRIHtT8&t=18s
You Should Use CSS Selectors for Web Scraping.,John Watson Rooney,1年前,10分钟28秒钟,https://www.youtube.com/watch?v=hkDAW7hhEYU
Beautifulsoup vs Selenium vs Scrapy - Which tool for web scraping in 2021?,John Watson Rooney,1年前,6分钟54秒钟,https://www.youtube.com/watch?v=J82SxHP5SWY
5 Things You Might Not Be Using in BeautifulSoup,John Watson Rooney,1年前,10分钟32秒钟,https://www.youtube.com/watch?v=3tUUVenpxbc
Why I Code (NOT a DEVELOPER?),John Watson Rooney,1年前,3分钟43秒钟,https://www.youtube.com/watch?v=WNBhpohY4f0
How I found the best Steam Deals this Winter - Web Scraping with Python,John Watson Rooney,1年前,27分钟,https://www.youtube.com/watch?v=oKk3dplKLVg&t=46s
Live Coding - Web Scraping Project & Chat,John Watson Rooney,直播时间：1年前,1小时,https://www.youtube.com/watch?v=63PrrrmRj88
Scrapy Items and Itemloader - Beginner Scrapy Project,John Watson Rooney,1年前,15分钟,https://www.youtube.com/watch?v=wyE4oDxScfE
"Scrapy Splash for Beginners - Example, Settings and Shell Use",John Watson Rooney,1年前,14分钟10秒钟,https://www.youtube.com/watch?v=mTOXVRao3eA
Scrapy for Beginners - A Complete How To Example Web Scraping Project,John Watson Rooney,1年前,23分钟,https://www.youtube.com/watch?v=s4jtkzHhLzY&t=148s
"EBAY Price Tracking with Python, Beautifulsoup and Requests",John Watson Rooney,1年前,20分钟,https://www.youtube.com/watch?v=csj1RoLTMIA&t=46s
Scraping Amazon's best Black Friday DEALS with Python,John Watson Rooney,1年前,41分钟,https://www.youtube.com/watch?v=hftDoPXyvFc
"How I Scrape multiple pages on Amazon with Python, Requests & BeautifulSoup",John Watson Rooney,1年前,11分钟24秒钟,https://www.youtube.com/watch?v=4VfqVpTz4Q4
Run Your Web Scraper Automatically Once a DAY,John Watson Rooney,1年前,16分钟,https://www.youtube.com/watch?v=VztRqRXeyn0&t=11s
Sentiment Analysis With Python: Movie Quotes & TEXTBLOB,John Watson Rooney,1年前,14分钟53秒钟,https://www.youtube.com/watch?v=z2ntS7_CNpk
How To Install Python 3 and VS Code on Windows,John Watson Rooney,1年前,13分钟2秒钟,https://www.youtube.com/watch?v=EJUdFB5iu7Y
How to Scrape Walmart product data with Python,John Watson Rooney,1年前,20分钟,https://www.youtube.com/watch?v=GqICHBfeAWk&t=480s
Amazon Price Tracker using Python - Web Scrape from ASINs CSV and save results to Database,John Watson Rooney,1年前,23分钟,https://www.youtube.com/watch?v=6Li6Y1_DRJ8
"How I Scrape Amazon Reviews using Python, Requests & BeautifulSoup",John Watson Rooney,1年前,30分钟,https://www.youtube.com/watch?v=DIT8rwyPEns&t=283s
Scrape Javascript with SPLASH  - how to install and get started with Splash,John Watson Rooney,1年前,10分钟28秒钟,https://www.youtube.com/watch?v=8q2K41QC2nQ
How to Scrape and Download ALL images from a webpage with Python,John Watson Rooney,1年前,15分钟,https://www.youtube.com/watch?v=stIxEKR7o-c&t=548s
How to Scrape Stock Prices from Yahoo Finance with Python,John Watson Rooney,1年前,20分钟,https://www.youtube.com/watch?v=7sFCOunKL_Y&t=116s
Easiest SELENIUM Web Scraping for JavaScript Pages,John Watson Rooney,1年前,5分钟26秒钟,https://www.youtube.com/watch?v=onlQ7fL4ey8
How Web Scrape Multiple Pages with ONE Function with Python,John Watson Rooney,1年前,21分钟,https://www.youtube.com/watch?v=m-koIYWCaIo
Python Web Scraping LIVE 3!  QnA - Chat - Live Code Examples,John Watson Rooney,直播时间：1年前,1小时34分钟,https://www.youtube.com/watch?v=NlapIIe4mEA
How I save my Scraped Data to a Database with Python! Beginners sqlite3 tutorial,John Watson Rooney,1年前,17分钟,https://www.youtube.com/watch?v=xBbK2kvHXwE&t=633s
Scrape Amazon NEW METHOD with Python 2020,John Watson Rooney,1年前,8分钟45秒钟,https://www.youtube.com/watch?v=WcPNlnsNZyY&t=8s
Scrapy Basics - How to Get Started with Python's Web Scraping Framework,John Watson Rooney,1年前,20分钟,https://www.youtube.com/watch?v=hCARQVJy_mk&t=49s
How to Rotate Proxies with Python,John Watson Rooney,1年前,13分钟5秒钟,https://www.youtube.com/watch?v=vJwcW2gCCE4
Scrape HTML tables easily with Pandas and Python,John Watson Rooney,1年前,6分钟45秒钟,https://www.youtube.com/watch?v=ODNMNwgtehk
How to Web Scrape Indeed with Python - Extract Job Information to CSV,John Watson Rooney,1年前,20分钟,https://www.youtube.com/watch?v=PPcgtx0sI2E&t=9s
PARALLEL and CONCURRENCY in Python for FAST Web Scraping,John Watson Rooney,1年前,6分钟20秒钟,https://www.youtube.com/watch?v=aA6-ezS5dyY
Build your own Yellow Pages web scraper with Python,John Watson Rooney,1年前,25分钟,https://www.youtube.com/watch?v=PhJFg1THF9E
Python Web Scraping Q&A 2! + Live Coding,John Watson Rooney,直播时间：1年前,1小时28分钟,https://www.youtube.com/watch?v=8eddCc1LuYA
Google Sheets Database with Python Web Scraping,John Watson Rooney,1年前,12分钟57秒钟,https://www.youtube.com/watch?v=ct0xvw_Z0tU
Python Web Scraping Q&A + Live Coding,John Watson Rooney,直播时间：1年前,1小时33分钟,https://www.youtube.com/watch?v=CMM7tK3GR1Q
Python Web Scraping Q&A + Live Coding,John Watson Rooney,1年前,1小时31分钟,https://www.youtube.com/watch?v=THRd7b5PbuU
Web Scraping NEWS Articles with Python,John Watson Rooney,1年前,12分钟22秒钟,https://www.youtube.com/watch?v=uKb9fA4gyWQ
How to scrape SPORTS STATS websites with Python,John Watson Rooney,1年前,12分钟53秒钟,https://www.youtube.com/watch?v=SEQjNEawceo&t=2s
How I always get the right table when web scraping with Python,John Watson Rooney,1年前,8分钟26秒钟,https://www.youtube.com/watch?v=c6BO3j2rHhU
IMPROVING this BeautifulSoup Blog Scraper,John Watson Rooney,1年前,11分钟40秒钟,https://www.youtube.com/watch?v=JcfQthzH4lQ
Scrape blog posts with Python,John Watson Rooney,1年前,15分钟,https://www.youtube.com/watch?v=U90vK84bq4s
Rendering Dynamic Pages 2! - Web Scraping ALL products with Python,John Watson Rooney,1年前,15分钟,https://www.youtube.com/watch?v=B14mtXA7Tyw
Render Dynamic Pages - Web Scraping Product Links with Python,John Watson Rooney,1年前,13分钟41秒钟,https://www.youtube.com/watch?v=MeBU-4Xs2RU
A Better Web Scraper - 3 Steps Demo Python Web Scraping,John Watson Rooney,1年前,13分钟29秒钟,https://www.youtube.com/watch?v=8980WHjsC6E&t=4s
How I Scrape Websites With Python In 3 STEPS,John Watson Rooney,1年前,7分钟59秒钟,https://www.youtube.com/watch?v=yjH0YpeQuy0&t=1s
User Agent Switching - Python Web Scraping,John Watson Rooney,1年前,6分钟53秒钟,https://www.youtube.com/watch?v=90t9WkQbQ2E
"Trying OTHER Web Scraping Packages, Worth it?",John Watson Rooney,1年前,7分钟19秒钟,https://www.youtube.com/watch?v=jdhjdiccASA
Web scraping Shopify - easily download all products,John Watson Rooney,1年前,14分钟58秒钟,https://www.youtube.com/watch?v=jPjxWC7zV2s
Python Web Scraping: JSON in SCRIPT tags,John Watson Rooney,1年前,10分钟14秒钟,https://www.youtube.com/watch?v=QNLBBGWEQ3Q
Web Scraping with Python: Ecommerce Product Pages. In Depth including troubleshooting,John Watson Rooney,1年前,21分钟,https://www.youtube.com/watch?v=nCuPv3tf2Hg
Webscraping With Python: Pagination and HTML,John Watson Rooney,1年前,20分钟,https://www.youtube.com/watch?v=sIOMDu6MXJQ
Turn your web scraper into a web app with Python and Flask,John Watson Rooney,1年前,9分钟2秒钟,https://www.youtube.com/watch?v=ukVjagiXJzw
Web Scraping with Python Guide,John Watson Rooney,1年前,7分钟37秒钟,https://www.youtube.com/watch?v=J91bHusPatc
Always start your web scrapers with this- VENV And Python,John Watson Rooney,2年前,8分钟5秒钟,https://www.youtube.com/watch?v=brJR5Qjp4SM
HELIUM for simple DYNAMIC web scraping with Python,John Watson Rooney,2年前,7分钟42秒钟,https://www.youtube.com/watch?v=Texh_xJfzEM
API Endpoints? Get data from the web easily with PYTHON,John Watson Rooney,2年前,5分钟38秒钟,https://www.youtube.com/watch?v=uRlik_-puEw
How I Scrape JAVASCRIPT websites with Python,John Watson Rooney,2年前,4分钟33秒钟,https://www.youtube.com/watch?v=0hiGp3lF6ig
JMESPATH in PYTHON - JSON query language,John Watson Rooney,2年前,11分钟35秒钟,https://www.youtube.com/watch?v=eGsJR_7ipiw
Easy SOCIAL IMAGES with Python PIL,John Watson Rooney,2年前,6分钟16秒钟,https://www.youtube.com/watch?v=8gg7vStycHY
QUICK PYTHON for Beginners - My MOST used,John Watson Rooney,2年前,14分钟28秒钟,https://www.youtube.com/watch?v=vRcRplls6qM
Easy Databases in PYTON - Web Scraping Example,John Watson Rooney,2年前,7分钟37秒钟,https://www.youtube.com/watch?v=lUAEMLqhlFQ
Easy Databases in PYTHON with Dataset,John Watson Rooney,2年前,13分钟58秒钟,https://www.youtube.com/watch?v=ndtjygWQpX4
How to SCRAPE DYNAMIC websites with Selenium,John Watson Rooney,2年前,11分钟4秒钟,https://www.youtube.com/watch?v=lTypMlVBFM4
How I use SELENIUM to AUTOMATE the Web with PYTHON. Pt1,John Watson Rooney,2年前,13分钟58秒钟,https://www.youtube.com/watch?v=pUUhvJvs-R4&t=8s
HOW TO: JSON and APIs in PYTHON - A Beginners Look,John Watson Rooney,2年前,25分钟,https://www.youtube.com/watch?v=YgO5ff9sp7A
How I WEBSCRAPE Websites with LOGINS - Python Tutorial,John Watson Rooney,2年前,13分钟55秒钟,https://www.youtube.com/watch?v=cV21EOf5bbA
Python Functions: Basics - how to add user defined functions to you code,John Watson Rooney,2年前,7分钟24秒钟,https://www.youtube.com/watch?v=RWL_ubFht3Y
Automate Sales Reports with Pandas and Python,John Watson Rooney,2年前,15分钟,https://www.youtube.com/watch?v=mLi-na5IF4o
Python CSV files - with PANDAS,John Watson Rooney,2年前,7分钟59秒钟,https://www.youtube.com/watch?v=ClNP-lTzKgI
How to Use Python Dictionaries + Lists of Dicts,John Watson Rooney,2年前,8分钟15秒钟,https://www.youtube.com/watch?v=6x8oN6FtpLo
Find the best prices for stuff with Python web scraping,John Watson Rooney,2年前,16分钟,https://www.youtube.com/watch?v=1KHIFs8v7jY
Python Web scraping - Script to CSV or Excel,John Watson Rooney,2年前,4分钟57秒钟,https://www.youtube.com/watch?v=PeTagmeYKjw
Web Scraping: HTML Tables with Python,John Watson Rooney,2年前,13分钟14秒钟,https://www.youtube.com/watch?v=15f4JhJ8SiQ&t=26s
5 Tips for Learning PYTHON,John Watson Rooney,2年前,7分钟14秒钟,https://www.youtube.com/watch?v=s7u4AkLS2Bw
Indexing and Slicing Python Lists for Beginners,John Watson Rooney,2年前,7分钟28秒钟,https://www.youtube.com/watch?v=XwaEo4f17LU
Basic Webscraper : Get info from the web with Python,John Watson Rooney,2年前,19分钟,https://www.youtube.com/watch?v=APukTnnwQEY
Simple Python Projects | short projects for beginners,John Watson Rooney,2年前,9分钟10秒钟,https://www.youtube.com/watch?v=BdnHeQlYwR4
